Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Right Controller,12:08:31.1274700,1.089461,-0.7794263,2.789911,351.2933,94.9306,354.1653
Left Controller,12:08:31.1396340,1.090509,-0.8110732,3.078378,8.484329,88.7355,7.619698
Right Controller,12:08:31.1397030,1.089461,-0.7794263,2.789911,351.2933,94.9306,354.1653
Left Controller,12:08:31.1421710,1.090514,-0.811088,3.078325,8.475904,88.72993,7.549309
Right Controller,12:08:31.1422680,1.089467,-0.7794666,2.78987,351.3144,94.93235,354.13
Left Controller,12:08:31.1540650,1.090514,-0.811088,3.078325,8.475904,88.72993,7.549309
Right Controller,12:08:31.1541310,1.089467,-0.7794666,2.78987,351.3144,94.93235,354.13
Left Controller,12:08:31.1568400,1.090525,-0.8111062,3.078272,8.467845,88.70589,7.45757
Right Controller,12:08:31.1569390,1.089474,-0.77952,2.789829,351.3423,94.9341,354.0876
Left Controller,12:08:31.1684080,1.090525,-0.8111062,3.078272,8.467845,88.70589,7.45757
Right Controller,12:08:31.1684870,1.089474,-0.77952,2.789829,351.3423,94.9341,354.0876
Left Controller,12:08:31.1708660,1.090536,-0.8111235,3.078203,8.460598,88.68002,7.367866
Right Controller,12:08:31.1709540,1.089509,-0.779597,2.789777,351.3826,94.93492,354.0494
Left Controller,12:08:31.1825920,1.090536,-0.8111235,3.078203,8.460598,88.68002,7.367866
Right Controller,12:08:31.1826720,1.089509,-0.779597,2.789777,351.3826,94.93492,354.0494
Left Controller,12:08:31.1850100,1.090539,-0.8111465,3.078141,8.467786,88.68049,7.330531
Right Controller,12:08:31.1851040,1.08956,-0.7796882,2.789734,351.4288,94.94012,354.0242
Left Controller,12:08:31.1967720,1.090539,-0.8111465,3.078141,8.467786,88.68049,7.330531
Right Controller,12:08:31.1968460,1.08956,-0.7796882,2.789734,351.4288,94.94012,354.0242
Left Controller,12:08:31.1997100,1.090535,-0.8111576,3.078102,8.473629,88.69851,7.334519
Right Controller,12:08:31.1998650,1.089616,-0.7797767,2.789703,351.4756,94.94762,354.0118
Left Controller,12:08:31.2108870,1.090535,-0.8111576,3.078102,8.473629,88.69851,7.334519
Right Controller,12:08:31.2109590,1.089616,-0.7797767,2.789703,351.4756,94.94762,354.0118
